Ensembl Gene ID	% GC content	Gene Start (bp)	Gene End (bp)
ENSMUSG00000099896	40.35	75356342	75359578
ENSMUSG00000100896	35.71	30310104	30311114
ENSMUSG00000086468	40.02	17953970	17959578
ENSMUSG00000098441	52.73	25097066	25097175
ENSMUSG00000094530	42.17	129252998	129253597
ENSMUSG00000041112	42.64	20090596	20606528
ENSMUSG00000065337	38.13	52078604	52078742
ENSMUSG00000073110	46.76	42955459	42956508
ENSMUSG00000102654	48.85	114740408	114740841
ENSMUSG00000094960	44.68	59711009	59711102
ENSMUSG00000042498	38.28	139480367	139554582
ENSMUSG00000092142	44.41	41402885	41408281
ENSMUSG00000101247	45.64	42975149	42975595
ENSMUSG00000050505	42.85	88464743	88471396
ENSMUSG00000100350	45.37	86727447	86730781
ENSMUSG00000033658	44.06	111003188	111031751
ENSMUSG00000084959	40.67	42935470	42938887
ENSMUSG00000101887	45.15	64012428	64013118
ENSMUSG00000084413	53.74	17973788	17974790
ENSMUSG00000095276	57.00	45176349	45179597
ENSMUSG00000077777	47.79	106426712	106426847
ENSMUSG00000098671	65.85	107096025	107096106
ENSMUSG00000048665	42.03	67165203	67165616
ENSMUSG00000099991	45.51	68165621	68168964
ENSMUSG00000065636	39.42	92039917	92040020
ENSMUSG00000091725	44.27	44285580	44291068
ENSMUSG00000103605	37.74	39249477	39249839
ENSMUSG00000106979	45.04	68736302	68736583
ENSMUSG00000090387	44.33	40198656	40201105
ENSMUSG00000101852	45.31	70706137	70706829
ENSMUSG00000101358	40.32	68170371	68170685
ENSMUSG00000009418	48.50	135434580	135607295
ENSMUSG00000085453	38.95	18095986	18103384
ENSMUSG00000051180	54.28	140161939	140163014
ENSMUSG00000018999	44.76	34153380	34177111
ENSMUSG00000099347	45.11	30360777	30361472
ENSMUSG00000074473	52.26	12278819	12280657
ENSMUSG00000070527	49.86	62417593	62420139
ENSMUSG00000094880	43.51	3512378	3543372
ENSMUSG00000059412	52.01	45403138	45410278
ENSMUSG00000091745	63.88	66834699	66835534
ENSMUSG00000047237	42.65	109139447	109162041
ENSMUSG00000102050	43.00	39344545	39345030
ENSMUSG00000094265	57.98	123554060	123554178
ENSMUSG00000101816	43.53	68206802	68207497
ENSMUSG00000080826	48.87	18206413	18206944
ENSMUSG00000094028	54.55	113430528	113430538
ENSMUSG00000101244	40.43	58717540	58720772
ENSMUSG00000091707	44.27	44307689	44309906
ENSMUSG00000032679	45.19	104095801	104115354
ENSMUSG00000106497	52.44	140149156	140151487
ENSMUSG00000100521	45.04	64042912	64043526
ENSMUSG00000096905	47.51	3496367	3497570
ENSMUSG00000006095	49.59	30224131	30232272
ENSMUSG00000074461	47.98	14090461	14092590
ENSMUSG00000086443	47.99	122961309	122963475
ENSMUSG00000081302	44.47	18325630	18327671
ENSMUSG00000099012	39.06	76619155	76619282
ENSMUSG00000103064	40.32	25117327	25117641
ENSMUSG00000094170	35.82	47669242	47691098
ENSMUSG00000091867	44.84	26931631	26939386
ENSMUSG00000095766	53.52	20556695	20557333
ENSMUSG00000094552	56.25	113448214	113448229
ENSMUSG00000026004	36.03	66719248	66817562
ENSMUSG00000102178	34.45	18436242	18436836
ENSMUSG00000040963	48.18	70092644	70106187
ENSMUSG00000030307	47.39	114131241	114249886
ENSMUSG00000094956	60.50	123576076	123576194
ENSMUSG00000101790	40.32	64079628	64079942
ENSMUSG00000085898	48.23	21091366	21091846
ENSMUSG00000034295	44.32	24709445	25133500
ENSMUSG00000020067	44.24	63115795	63203952
ENSMUSG00000099408	40.19	43047510	43050744
ENSMUSG00000088329	58.45	69399725	69400020
ENSMUSG00000085675	38.89	18467479	18493255
ENSMUSG00000094869	37.11	29655497	29683370
ENSMUSG00000079267	39.72	44330442	44338584
ENSMUSG00000022551	59.16	76343523	76345934
ENSMUSG00000099966	43.95	20641009	20644048
ENSMUSG00000020193	38.52	11279626	11462408
ENSMUSG00000065817	50.00	13876097	13876226
ENSMUSG00000013539	47.51	18300825	18348103
ENSMUSG00000020952	39.79	51377580	51450096
ENSMUSG00000096420	41.67	113449588	113449599
ENSMUSG00000021930	39.82	61531993	61556886
ENSMUSG00000101266	39.94	114272174	114273435
ENSMUSG00000065737	38.78	86292501	86292598
ENSMUSG00000022035	44.80	65837302	65866604
ENSMUSG00000007670	53.62	57021058	57031507
ENSMUSG00000061958	42.89	21095074	21096050
ENSMUSG00000025474	46.40	139995955	140036350
ENSMUSG00000105090	41.29	53767026	53767180
ENSMUSG00000077499	50.76	45581616	45581747
ENSMUSG00000101423	40.80	31777538	31779902
ENSMUSG00000082852	44.70	18508037	18509940
ENSMUSG00000049460	49.21	7801208	7802030
ENSMUSG00000106103	43.48	108311370	108312749
ENSMUSG00000047562	40.36	7502352	7510238
ENSMUSG00000101807	50.40	31879045	31880038
ENSMUSG00000051043	50.22	114851152	114872617
ENSMUSG00000092829	46.75	76958422	76958498
ENSMUSG00000091486	44.12	41436816	41439018
ENSMUSG00000076858	51.53	53776956	53777576
ENSMUSG00000034958	49.50	81204508	81230833
ENSMUSG00000052144	40.50	100833638	100868717
ENSMUSG00000093863	43.91	41448203	41453518
ENSMUSG00000096768	46.17	90784738	90816464
ENSMUSG00000042496	44.30	31280538	31378543
ENSMUSG00000039710	36.00	14480697	14505830
ENSMUSG00000063511	47.19	45376462	45395692
ENSMUSG00000030689	51.70	126851580	126862377
ENSMUSG00000028750	51.75	138724792	138746132
ENSMUSG00000025038	37.79	17132049	17319368
ENSMUSG00000028961	50.13	149149991	149166771
ENSMUSG00000001420	51.49	88328655	88336148
ENSMUSG00000003814	48.79	84841850	84846934
ENSMUSG00000039682	45.05	45493374	45512691
ENSMUSG00000037492	42.82	23636019	24156585
ENSMUSG00000029765	45.64	32144268	32588192
ENSMUSG00000026098	39.83	53189187	53297018
ENSMUSG00000041488	44.30	11775119	11819403
ENSMUSG00000033502	43.50	116272553	116424032
ENSMUSG00000101177	40.44	65744349	65754999
ENSMUSG00000031858	48.41	70016123	70042734
ENSMUSG00000033720	48.76	85213051	85333422
ENSMUSG00000045038	46.97	86167785	86657919
ENSMUSG00000007097	49.67	172271709	172298064
ENSMUSG00000051306	46.20	143710325	143732280
ENSMUSG00000026727	42.27	13076821	13271415
ENSMUSG00000049488	40.87	12039355	12090020
ENSMUSG00000052632	47.25	21111748	21270171
ENSMUSG00000095749	60.50	123608320	123608438
ENSMUSG00000077607	46.56	81338274	81338404
ENSMUSG00000096738	42.99	15383148	15383254
ENSMUSG00000091016	42.31	41473616	41475917
ENSMUSG00000074252	55.36	70931405	70933037
ENSMUSG00000088984	55.64	126860980	126861112
ENSMUSG00000085173	36.55	21100651	21103271
ENSMUSG00000019254	51.63	4481520	4501680
ENSMUSG00000102842	43.53	25153876	25154571
ENSMUSG00000053038	51.10	42246911	42247411
ENSMUSG00000096896	45.45	90997862	90997993
ENSMUSG00000019738	57.24	30231948	30233390
ENSMUSG00000090643	42.14	5970744	5979137
ENSMUSG00000076888	40.62	54175773	54175836
ENSMUSG00000065680	39.44	117154514	117154584
ENSMUSG00000071083	35.14	69373528	69373914
ENSMUSG00000103666	44.81	15615108	15615801
ENSMUSG00000087943	73.68	139338304	139338360
ENSMUSG00000076382	43.90	111194964	111195045
ENSMUSG00000085767	50.31	26381526	26389018
ENSMUSG00000050350	44.19	121911435	121915774
ENSMUSG00000083509	49.18	21119166	21119348
ENSMUSG00000054863	48.46	87625230	87759336
ENSMUSG00000096885	47.33	40775223	40775765
ENSMUSG00000047657	45.13	73750301	73750783
ENSMUSG00000088526	33.87	39981497	39981558
ENSMUSG00000034881	55.76	81328732	81335171
ENSMUSG00000102164	44.14	89351025	89351459
ENSMUSG00000095431	38.10	21176768	21176872
ENSMUSG00000077271	48.18	3796447	3796583
ENSMUSG00000087839	42.00	96104463	96104562
ENSMUSG00000090505	41.34	41484232	41489485
ENSMUSG00000095353	45.76	44980580	44981263
ENSMUSG00000078006	42.11	102732390	102732484
ENSMUSG00000090379	44.47	44365357	44370841
ENSMUSG00000077312	44.36	73589082	73589214
ENSMUSG00000105580	66.67	21753445	21753582
ENSMUSG00000100452	40.37	64116692	64119931
ENSMUSG00000051212	43.89	121952331	121965193
ENSMUSG00000029413	46.22	92257659	92278170
ENSMUSG00000103410	40.16	92496628	92496998
ENSMUSG00000050654	47.81	116581938	116583031
ENSMUSG00000103099	46.78	147192468	147192918
ENSMUSG00000094354	44.14	40380441	40381523
ENSMUSG00000084651	43.75	109903809	109903888
ENSMUSG00000077272	47.73	96318487	96318618
ENSMUSG00000088551	42.86	101103588	101103650
ENSMUSG00000076361	48.00	30165918	30165992
ENSMUSG00000046934	50.87	99757705	99759658
ENSMUSG00000027498	49.41	172370681	172382448
ENSMUSG00000087963	51.88	49684301	49684433
ENSMUSG00000084603	52.29	3615529	3615855
ENSMUSG00000024500	41.96	42637432	43059471
ENSMUSG00000092763	87.64	99657742	99657830
ENSMUSG00000076889	50.91	54176271	54176325
ENSMUSG00000090073	45.54	25783940	25794650
ENSMUSG00000029554	49.93	140008689	140321552
ENSMUSG00000092144	43.71	44379870	44382093
ENSMUSG00000092915	59.17	108568295	108568414
ENSMUSG00000099528	45.93	70852933	70873954
ENSMUSG00000090303	39.19	64053031	64055610
ENSMUSG00000095769	47.33	13132950	13133492
ENSMUSG00000076379	28.36	67236660	67236726
ENSMUSG00000089539	36.27	97222534	97222635
ENSMUSG00000078027	61.25	113037419	113037498
ENSMUSG00000076123	58.23	135416555	135416633
ENSMUSG00000104207	44.91	15694983	15695679
ENSMUSG00000076246	57.01	62466865	62466971
ENSMUSG00000098378	44.21	74270247	74270436
ENSMUSG00000074734	45.30	116111664	116113917
ENSMUSG00000094456	57.94	98557740	98557865
ENSMUSG00000096468	36.58	54531208	54548016
ENSMUSG00000048755	50.95	83546797	83555711
ENSMUSG00000093860	41.77	59481219	59481297
ENSMUSG00000076890	40.98	54177921	54177981
ENSMUSG00000021697	43.71	108316332	108407782
ENSMUSG00000032085	50.16	45929628	45936058
ENSMUSG00000002897	49.47	120463197	120483727
ENSMUSG00000021062	50.30	76797960	76822908
ENSMUSG00000020752	49.50	115892595	115933477
ENSMUSG00000090716	39.57	44402671	44410688
ENSMUSG00000106670	40.74	14350178	14350285
ENSMUSG00000065434	41.67	58392779	58392886
ENSMUSG00000087938	42.59	41312091	41312198
ENSMUSG00000101929	40.08	26835628	26838863
ENSMUSG00000089488	52.57	99040398	99040650
ENSMUSG00000080366	47.93	3099386	3099506
ENSMUSG00000065544	38.57	56895229	56895298
ENSMUSG00000095759	47.33	13223386	13223928
ENSMUSG00000095827	53.29	17230642	17230975
ENSMUSG00000094340	51.83	100330540	100331413
ENSMUSG00000100262	45.64	7299029	7299475
ENSMUSG00000104621	35.86	152250029	152252803
ENSMUSG00000093269	44.44	40865791	40865862
ENSMUSG00000098364	75.45	138325980	138326089
ENSMUSG00000096523	42.59	83675342	83675449
ENSMUSG00000077585	45.45	56521372	56521503
ENSMUSG00000025785	45.35	123113215	123136129
ENSMUSG00000066101	64.01	142189473	142190389
ENSMUSG00000103351	41.00	17269456	17270794
ENSMUSG00000065256	50.30	39858863	39859027
ENSMUSG00000036401	44.63	25793859	25815848
ENSMUSG00000052496	49.55	85814676	85821733
ENSMUSG00000092896	41.67	4455940	4456023
ENSMUSG00000080359	33.33	13266985	13267050
ENSMUSG00000094933	59.63	50600972	50601080
ENSMUSG00000095511	41.77	59610133	59610211
ENSMUSG00000029263	42.67	108312609	108349355
ENSMUSG00000094867	47.15	10616361	10616903
ENSMUSG00000092086	43.83	112013433	112015036
ENSMUSG00000098956	58.59	110109012	110109139
ENSMUSG00000087841	37.96	34086126	34086233
ENSMUSG00000105380	50.18	53778603	53778873
ENSMUSG00000089161	51.66	65158258	65158408
ENSMUSG00000076891	50.79	54179962	54180024
ENSMUSG00000089068	32.26	53493853	53493914
ENSMUSG00000098521	48.08	102304924	102304975
ENSMUSG00000096411	62.73	124735839	124735948
ENSMUSG00000063305	48.61	18674107	18686185
ENSMUSG00000100550	44.08	95336276	95363216
ENSMUSG00000032977	50.91	77486656	77515813
ENSMUSG00000103714	35.36	25214932	25239462
ENSMUSG00000094911	43.03	24795161	24796243
ENSMUSG00000089070	31.37	89927442	89927543
ENSMUSG00000094500	37.67	33742112	33747770
ENSMUSG00000079414	48.72	57092035	57105942
ENSMUSG00000093112	51.20	110498852	110499142
ENSMUSG00000096388	51.49	8235582	8235682
ENSMUSG00000088030	47.22	23682545	23682652
ENSMUSG00000022554	59.06	76368898	76371403
ENSMUSG00000097032	48.96	135436209	135438665
ENSMUSG00000054871	64.03	123259058	123260789
ENSMUSG00000094346	47.70	6237453	6237995
ENSMUSG00000094405	40.52	117202528	117202643
ENSMUSG00000088428	48.00	115052814	115052913
ENSMUSG00000091569	44.26	44433635	44439086
ENSMUSG00000077261	33.33	106990402	106990467
ENSMUSG00000103342	38.73	44118774	44118946
ENSMUSG00000043004	43.28	19872559	19977627
ENSMUSG00000028393	51.90	62509169	62519918
ENSMUSG00000101207	40.36	43076399	43079631
ENSMUSG00000088418	41.67	121509472	121509603
ENSMUSG00000019854	40.86	18055861	18125155
ENSMUSG00000077153	45.80	63878196	63878326
ENSMUSG00000079346	41.89	124347593	124357086
ENSMUSG00000101403	45.40	64227060	64227755
ENSMUSG00000025480	44.38	140777229	140787854
ENSMUSG00000027824	38.68	64081642	64105458
ENSMUSG00000094277	44.81	90583400	90583765
ENSMUSG00000096350	47.92	132408309	132408404
ENSMUSG00000080518	42.11	110842383	110842458
ENSMUSG00000096819	45.18	17935713	17937330
ENSMUSG00000081858	46.81	17252062	17254394
ENSMUSG00000088914	32.41	92866475	92866582
ENSMUSG00000032134	40.36	18495455	18512885
ENSMUSG00000070130	67.01	105308364	105308460
ENSMUSG00000001768	45.27	145784734	145887616
ENSMUSG00000093892	44.70	6008825	6009305
ENSMUSG00000095821	49.02	120317567	120318076
ENSMUSG00000021569	43.25	73911347	73937767
ENSMUSG00000094478	44.99	70686946	70687534
ENSMUSG00000095366	48.87	90754513	90754821
ENSMUSG00000030759	36.51	113513834	113571511
ENSMUSG00000084905	46.25	28360362	28364339
ENSMUSG00000077663	50.00	56678904	56679035
ENSMUSG00000088416	50.98	120717500	120717754
ENSMUSG00000080454	54.01	54578113	54578249
ENSMUSG00000100519	46.46	81799290	81799967
ENSMUSG00000095626	50.95	31802210	31802737
ENSMUSG00000069385	33.60	44156395	44159873
ENSMUSG00000085779	52.15	81194609	81210877
ENSMUSG00000077514	47.29	103586272	103586400
ENSMUSG00000096379	43.31	38574609	38575691
ENSMUSG00000096081	44.23	44447792	44450009
ENSMUSG00000088233	38.60	123471384	123471497
ENSMUSG00000000673	50.87	83831356	83846790
ENSMUSG00000099323	41.84	108498775	108498970
ENSMUSG00000082210	49.43	100624518	100624954
ENSMUSG00000071237	47.31	117808720	117809220
ENSMUSG00000064619	37.74	16861689	16861794
ENSMUSG00000092710	47.01	47440418	47440551
ENSMUSG00000064181	46.00	116905784	116950380
ENSMUSG00000056281	42.23	49885469	49886401
ENSMUSG00000099705	52.23	58720126	58721046
ENSMUSG00000076343	39.82	96357111	96357223
ENSMUSG00000100598	45.37	81831779	81832393
ENSMUSG00000079168	53.51	4134733	4137707
ENSMUSG00000072574	41.83	44477337	44479911
ENSMUSG00000099438	45.83	70780706	70781401
ENSMUSG00000095879	47.33	18061270	18061812
ENSMUSG00000064387	56.10	132352775	132352979
ENSMUSG00000077503	51.88	15227405	15227537
ENSMUSG00000102887	44.03	6132869	6140568
ENSMUSG00000066583	49.11	34021483	34022881
ENSMUSG00000087356	44.88	34151929	34174235
ENSMUSG00000107014	45.26	66166607	66191336
ENSMUSG00000063166	52.66	53525703	53526059
ENSMUSG00000004654	50.52	55376295	55388530
ENSMUSG00000095837	42.67	20575321	20576241
ENSMUSG00000014959	45.47	70661576	70712636
ENSMUSG00000103238	40.84	151496557	151499585
ENSMUSG00000094227	47.33	13941738	13942280
ENSMUSG00000065823	48.60	12812706	12812812
ENSMUSG00000045252	55.93	25077205	25083492
ENSMUSG00000088037	56.92	25631950	25632079
ENSMUSG00000100591	45.40	81868597	81869292
ENSMUSG00000100453	43.78	7340242	7340940
ENSMUSG00000060112	49.79	140345052	140345987
ENSMUSG00000096536	44.26	65416599	65417147
ENSMUSG00000095394	43.18	50286746	50286877
ENSMUSG00000087666	54.70	53795357	53795963
ENSMUSG00000094041	50.50	72541480	72541580
ENSMUSG00000083366	42.29	59866697	59867753
ENSMUSG00000104411	33.34	17328694	17334425
ENSMUSG00000082332	51.34	6132208	6133956
ENSMUSG00000093883	47.15	13465037	13465579
ENSMUSG00000106871	40.50	21852981	21858178
ENSMUSG00000022376	40.67	64699042	64922296
ENSMUSG00000107390	47.02	66080209	66084466
ENSMUSG00000077449	46.15	75768068	75768197
ENSMUSG00000089548	52.27	48958350	48958481
ENSMUSG00000098966	60.91	20134948	20135057
ENSMUSG00000073995	43.32	11979560	11981265
ENSMUSG00000103232	43.64	13238939	13240627
ENSMUSG00000063230	49.34	140492617	140493607
ENSMUSG00000080346	36.14	62779594	62779676
ENSMUSG00000077417	49.60	48896499	48896623
ENSMUSG00000105098	58.17	9770728	9770880
ENSMUSG00000098868	61.82	40684181	40684290
ENSMUSG00000073573	33.10	44190045	44196177
ENSMUSG00000083874	51.02	76742073	76742513
ENSMUSG00000088366	51.21	9623380	9623627
ENSMUSG00000042523	42.68	84114366	84147498
ENSMUSG00000099461	40.72	33677627	33679991
ENSMUSG00000045340	41.47	10633587	10634483
ENSMUSG00000030545	46.69	79735957	79743131
ENSMUSG00000080478	65.14	15938762	15938870
ENSMUSG00000055421	35.62	93013410	93890679
ENSMUSG00000094937	42.59	85774442	85774549
ENSMUSG00000102691	39.14	13161751	13163623
ENSMUSG00000089234	52.37	12356153	12356469
ENSMUSG00000058396	52.28	127747276	127751732
ENSMUSG00000098322	51.07	15015092	15018907
ENSMUSG00000078160	37.89	147540218	147543500
ENSMUSG00000102770	40.76	108584756	108585361
ENSMUSG00000057000	41.25	136072099	136085255
ENSMUSG00000077278	50.00	91723256	91723383
ENSMUSG00000095131	60.50	123555763	123555881
ENSMUSG00000065778	58.02	123293152	123293282
ENSMUSG00000104283	42.40	32939314	32983301
ENSMUSG00000032182	52.63	21588709	21592831
ENSMUSG00000100167	40.29	56125273	56128511
ENSMUSG00000096533	47.33	40651454	40651996
ENSMUSG00000103360	40.53	13116176	13118435
ENSMUSG00000102293	39.09	86874350	86876664
ENSMUSG00000106281	68.09	21786875	21787015
ENSMUSG00000021259	52.17	108334377	108362231
ENSMUSG00000097092	46.17	66151212	66174945
ENSMUSG00000096307	60.50	123545578	123545696
ENSMUSG00000094819	41.54	140646452	140652919
ENSMUSG00000098596	55.00	118210505	118210564
ENSMUSG00000102615	55.92	15024326	15028422
ENSMUSG00000030423	47.16	38262820	38271348
ENSMUSG00000072145	41.31	44500122	44506345
ENSMUSG00000093072	47.00	114580495	114580594
ENSMUSG00000094161	47.33	17845724	17846266
ENSMUSG00000093005	50.00	93933835	93933936
ENSMUSG00000093534	41.25	10650299	10650618
ENSMUSG00000065408	50.00	88910557	88910662
ENSMUSG00000103978	42.89	90870583	90871419
ENSMUSG00000025013	47.66	41083981	41206774
ENSMUSG00000009995	47.46	74281912	74290151
ENSMUSG00000014725	38.85	68606027	68655842
ENSMUSG00000089131	45.74	46980720	46980848
ENSMUSG00000094837	43.62	59761554	59761647
ENSMUSG00000087485	51.40	6255946	6257266
ENSMUSG00000094537	60.50	123548956	123549074
ENSMUSG00000095898	40.19	93600979	93601085
ENSMUSG00000000732	51.33	78069360	78079525
ENSMUSG00000096532	50.95	33702336	33702863
ENSMUSG00000103529	51.38	76655929	76658355
ENSMUSG00000104337	27.85	60737628	60737785
ENSMUSG00000093116	26.85	98560354	98560461
ENSMUSG00000104121	39.76	86801075	86804027
ENSMUSG00000094939	43.03	25308278	25309360
ENSMUSG00000098629	31.68	139199196	139199296
ENSMUSG00000099009	44.61	127759787	127792694
ENSMUSG00000093319	50.82	11696615	11696858
ENSMUSG00000031138	39.25	59999464	60030759
ENSMUSG00000076444	55.26	109017655	109017730
ENSMUSG00000077594	46.88	70168832	70168959
ENSMUSG00000092795	37.27	16129566	16129675
ENSMUSG00000095693	44.32	5248359	5249441
ENSMUSG00000031578	43.40	31159468	31168724
ENSMUSG00000100738	51.46	86285164	86287178
ENSMUSG00000107304	43.45	66069501	66072895
ENSMUSG00000074228	62.75	83165081	83166170
ENSMUSG00000077971	30.93	5997455	5997551
ENSMUSG00000098514	61.82	5542752	5542861
ENSMUSG00000025730	47.43	25882114	25919727
ENSMUSG00000077392	46.83	5687677	5687802
ENSMUSG00000032566	52.43	105143342	105145092
ENSMUSG00000098614	63.78	56703641	56703767
ENSMUSG00000094178	60.50	123569328	123569446
ENSMUSG00000099252	51.95	43905078	43905154
ENSMUSG00000100694	40.29	72271926	72275164
ENSMUSG00000011589	53.09	55986511	55996881
ENSMUSG00000082779	49.38	147125256	147125816
ENSMUSG00000095927	47.33	18654482	18655024
ENSMUSG00000095609	57.07	120034759	120035331
ENSMUSG00000074171	75.68	90907939	90908415
ENSMUSG00000064883	46.49	98275725	98275838
ENSMUSG00000055172	48.08	124512632	124523440
ENSMUSG00000031585	40.61	33731833	33777173
ENSMUSG00000106618	53.33	991657	991716
ENSMUSG00000044719	48.56	36684923	36695925
ENSMUSG00000085881	54.28	74008152	74009354
ENSMUSG00000099076	59.30	85062086	85062171
ENSMUSG00000038201	54.60	45405960	45411382
ENSMUSG00000091429	43.64	44518276	44523444
ENSMUSG00000103660	40.02	25299747	25302982
ENSMUSG00000064547	54.23	121134657	121134975
ENSMUSG00000107229	51.00	92306089	92306337
ENSMUSG00000098294	46.14	72774063	72776225
ENSMUSG00000042351	49.02	80623505	80650559
ENSMUSG00000100993	45.40	65789555	65790250
ENSMUSG00000089114	48.41	70123028	70123153
ENSMUSG00000075874	55.46	991630	991748
ENSMUSG00000081499	49.65	108602391	108602815
ENSMUSG00000065493	44.12	150068454	150068555
ENSMUSG00000095367	42.48	119962244	119963227
ENSMUSG00000089000	46.15	111879304	111879407
ENSMUSG00000055675	51.74	15011025	15033333
ENSMUSG00000074973	46.43	32938524	32938691
ENSMUSG00000065490	49.44	120769534	120769622
ENSMUSG00000099778	45.59	65796354	65799698
ENSMUSG00000039063	47.33	6188465	6213033
ENSMUSG00000056148	43.04	127776386	127792697
ENSMUSG00000065611	56.00	84208518	84208592
ENSMUSG00000095462	47.33	13348521	13349063
ENSMUSG00000046993	57.55	60045111	60046229
ENSMUSG00000078180	50.43	120304194	120304655
ENSMUSG00000104288	39.89	71371002	71371530
ENSMUSG00000088547	33.96	25940365	25940470
ENSMUSG00000029378	40.83	91139599	91148432
ENSMUSG00000088162	48.21	31544463	31544686
ENSMUSG00000032026	45.95	48468514	48480611
ENSMUSG00000068324	47.75	6662562	6662894
ENSMUSG00000094654	42.59	74910855	74910962
ENSMUSG00000073643	43.98	79702262	79776143
ENSMUSG00000104128	52.11	88643816	88644385
ENSMUSG00000081341	53.52	60051001	60051596
ENSMUSG00000055652	52.05	75848338	75874130
ENSMUSG00000088258	45.68	113528510	113528671
ENSMUSG00000098064	46.50	71819567	71820551
ENSMUSG00000101830	45.89	64301906	64302598
ENSMUSG00000101844	46.64	72382594	72383247
ENSMUSG00000054662	50.34	141101219	141117806
ENSMUSG00000085673	50.79	140074105	140085512
ENSMUSG00000047061	47.61	45078692	45081222
ENSMUSG00000096120	46.78	41406498	41407040
ENSMUSG00000096397	48.85	53806639	53807115
ENSMUSG00000080665	74.79	84011515	84011633
ENSMUSG00000097860	44.17	3678117	3689548
ENSMUSG00000088460	39.08	72111234	72111320
ENSMUSG00000022354	47.25	58933810	58939489
ENSMUSG00000089707	41.30	103692983	103699442
ENSMUSG00000024854	54.36	4231899	4233631
ENSMUSG00000096850	48.87	90838869	90839177
ENSMUSG00000086287	45.94	23750447	23752305
ENSMUSG00000101971	45.40	26871887	26875234
ENSMUSG00000063905	37.43	65512678	65512848
ENSMUSG00000088419	44.03	63108674	63108807
ENSMUSG00000097094	41.65	9267323	9269915
ENSMUSG00000095985	42.59	54928997	54929104
ENSMUSG00000078116	38.13	18815354	18816292
ENSMUSG00000003779	46.89	34624624	34633265
ENSMUSG00000096874	52.19	60771780	60772145
ENSMUSG00000098449	60.43	76304876	76305527
ENSMUSG00000064887	45.79	66002346	66002452
ENSMUSG00000095705	42.59	85414018	85414125
ENSMUSG00000098682	43.01	48669288	48793348
ENSMUSG00000027465	46.96	152293828	152313996
ENSMUSG00000088470	51.18	13402836	13403132
ENSMUSG00000097019	43.02	11321944	11342953
ENSMUSG00000047787	53.86	7092014	7105729
ENSMUSG00000105238	66.20	21721433	21721574
ENSMUSG00000107069	47.49	66174965	66175343
ENSMUSG00000059775	54.15	107439176	107439585
ENSMUSG00000014504	43.32	34330847	34336599
ENSMUSG00000091780	56.65	89371639	89373818
ENSMUSG00000087248	49.96	140207385	140210751
ENSMUSG00000094714	36.58	54622211	54639019
ENSMUSG00000089789	47.21	127759721	127768297
ENSMUSG00000106340	36.21	3218638	3218695
ENSMUSG00000095602	47.33	7405010	7405552
ENSMUSG00000096005	43.93	79454970	79455076
ENSMUSG00000101512	40.09	65831727	65834966
ENSMUSG00000030327	44.97	122874557	122888934
ENSMUSG00000097459	44.11	11980669	11988471
ENSMUSG00000100144	40.11	56166623	56169519
ENSMUSG00000087750	33.33	77569495	77569602
ENSMUSG00000076861	46.75	53831105	53831827
ENSMUSG00000099096	64.71	55507625	55507692
ENSMUSG00000087125	44.71	6193251	6321611
ENSMUSG00000107223	40.84	24837294	24838123
ENSMUSG00000094507	43.03	74623896	74624978
ENSMUSG00000098431	74.55	40307875	40307929
ENSMUSG00000073785	58.37	142228795	142229971
ENSMUSG00000092648	29.63	51765294	51765401
ENSMUSG00000096617	55.19	95861714	95862715
ENSMUSG00000090639	46.15	103190208	103230307
ENSMUSG00000099228	61.82	40688738	40688847
ENSMUSG00000089309	49.23	77146351	77146480
ENSMUSG00000101839	45.40	26881125	26881820
ENSMUSG00000097005	40.56	20032846	20041564
ENSMUSG00000034652	48.04	114890041	114904654
ENSMUSG00000065178	54.23	35662135	35662276
ENSMUSG00000053729	36.06	44166358	44175073
ENSMUSG00000087606	50.01	140101199	140107591
ENSMUSG00000073043	53.21	64729146	64731233
ENSMUSG00000088420	50.49	18932989	18933091
ENSMUSG00000014294	44.61	36742332	36744557
ENSMUSG00000094737	45.73	6034967	6035810
ENSMUSG00000099053	37.39	96897276	96897390
ENSMUSG00000031833	56.47	70778117	70792433
ENSMUSG00000079230	47.39	70295177	70295406
ENSMUSG00000097123	44.23	40720154	40722398
ENSMUSG00000088414	45.12	124022641	124022722
ENSMUSG00000086675	45.15	32451170	32454750
ENSMUSG00000090322	50.34	91305092	91321101
ENSMUSG00000105453	52.87	140029631	140032176
ENSMUSG00000089580	43.90	24316730	24316852
ENSMUSG00000091698	39.91	43747866	43755948
ENSMUSG00000102010	45.53	26918028	26918642
ENSMUSG00000091561	49.46	31819862	31820413
ENSMUSG00000086358	39.94	13271601	13325827
ENSMUSG00000095703	38.04	21594038	21594129
ENSMUSG00000028862	55.28	133240818	133252929
ENSMUSG00000097199	39.82	6154002	6172001
ENSMUSG00000103301	53.21	86069173	86069779
ENSMUSG00000097681	52.49	43030999	43032482
ENSMUSG00000057836	45.42	73086293	73097095
ENSMUSG00000025777	39.60	17145362	17164271
ENSMUSG00000088308	47.76	90098981	90099114
ENSMUSG00000101761	41.29	31840012	31842290
ENSMUSG00000093281	49.28	5705427	5705495
ENSMUSG00000101583	43.83	106152625	106171524
ENSMUSG00000084466	46.15	46902589	46902692
ENSMUSG00000027775	44.71	67582741	67604237
ENSMUSG00000085026	48.89	135843057	135844946
